name,team,result
213,Giraffen,6.5
212,Giraffen,7
214,Giraffen,16
210,Giraffen,9
211,Giraffen,5
216,Giraffen,10.5
209,Giraffen,12.5
215,Giraffen,15
249,Putzbrunner Panthers,15.5
250,Putzbrunner Panthers,9.5
251,Putzbrunner Panthers,10
252,Putzbrunner Panthers,9.5
253,Putzbrunner Panthers,13
254,Putzbrunner Panthers,10
255,Putzbrunner Panthers,9.5
256,Putzbrunner Panthers,5
257,Putzbrunner Panthers,11
258,Putzbrunner Panthers,9.5
259,Putzbrunner Panthers,17.5
192,Bunte Hunde,9.5
197,Bunte Hunde,14.5
190,Bunte Hunde,8.5
194,Bunte Hunde,14
195,Bunte Hunde,10.5
196,Bunte Hunde,14
193,Bunte Hunde,11.50
116,PowerKids,16.5
117,PowerKids,13.5
118,PowerKids,10
119,PowerKids,9.5
121,PowerKids,13.5
122,PowerKids,13.5
115,PowerKids,12
198,Gazelle Haidhausen,6.5
199,Gazelle Haidhausen,11.5
200,Gazelle Haidhausen,10
201,Gazelle Haidhausen,7
202,Gazelle Haidhausen,9
203,Gazelle Haidhausen,9.5
204,Gazelle Haidhausen,15
217,Fledermause,13.5
218,Fledermause,8
219,Fledermause,12
220,Fledermause,11
221,Fledermause,10
222,Fledermause,9.5
223,Fledermause,4
224,Fledermause,3.50
171,Manzoschule,16
173,Manzoschule,14.5
174,Manzoschule,12
175,Manzoschule,6
176,Manzoschule,3
177,Manzoschule,9
277,Long Jumpers,4.5
278,Long Jumpers,5
279,Long Jumpers,9
280,Long Jumpers,8.5
281,Long Jumpers,15
282,Long Jumpers,8.5
283,Long Jumpers,9
284,Long Jumpers,10.5
285,Long Jumpers,5
273,Long Jumpers,10.5
278,Long Jumpers,6.5
288,High Jumpers,17.5
289,High Jumpers,13.5
290,High Jumpers,8
291,High Jumpers,15
292,High Jumpers,9
293,High Jumpers,6
294,High Jumpers,14.5
295,High Jumpers,11.5
296,High Jumpers,11
271,High Jumpers,13
272,High Jumpers,9
133,Chilli Willi,11
134,Chilli Willi,9.5
135,Chilli Willi,11.5
136,Chilli Willi,15
138,Chilli Willi,14.5
139,Chilli Willi,11
140,Chilli Willi,14
